"Title","US Gross","Worldwide Gross","US DVD Sales","Production Budget","Release Date","MPAA Rating","Running Time min","Distributor","Source","Major Genre","Creative Type","Director","Rotten Tomatoes Rating","IMDB Rating","IMDB Votes"
"The Client","92115211","117615211","null","45000000","Jul 20 1994","PG-13","null","Warner Bros.","Based on Book/Short Story","Drama","Contemporary Fiction","Joel Schumacher","80","6.5","19299"
"The Calling","32092","32092","null","160000","Mar 01 2002","PG","null","Testimony Pictures","Original Screenplay","Drama","Contemporary Fiction","Michael C. Brown","null","3.4","1113"
"Clueless","56598476","56598476","null","13700000","Jul 01 1995","PG-13","null","Paramount Pictures","Based on Book/Short Story","Comedy","Contemporary Fiction","Amy Heckerling","83","6.7","39055"
"The Color Purple","93589701","93589701","null","15000000","Dec 18 1985","null","null","Warner Bros.","Based on Book/Short Story","Drama","Historical Fiction","Steven Spielberg","88","7.7","26962"
"Clerks","3073428","3073428","null","27000","Oct 19 1994","R","null","Miramax","Original Screenplay","Comedy","Contemporary Fiction","Kevin Smith","88","7.9","89991"
"Central do Brasil","5969553","17006158","null","2900000","Nov 20 1998","R","null","Sony Pictures Classics","Original Screenplay","Drama","Contemporary Fiction","Walter Salles","null","8","17343"
"Clash of the Titans","30000000","30000000","null","15000000","Jun 12 1981","null","108","MGM","Traditional/Legend/Fairytale","Adventure","Fantasy","null","65","5.9","45773"
"Clockwatchers","444354","444354","null","2000000","May 15 1998","PG-13","null","Artistic License","null","null","null","null","null","5.9","3171"
"Commando","35073978","35073978","null","10000000","Oct 04 1985","null","null","20th Century Fox","Original Screenplay","Action","Contemporary Fiction","null","71","4.5","49"
"The Color of Money","52293000","52293000","null","10000000","Oct 17 1986","null","null","Walt Disney Pictures","null","Drama","Contemporary Fiction","Martin Scorsese","91","6.9","25824"
"Cinderella","85000000","85000000","null","2900000","Feb 15 1950","null","null","Walt Disney Pictures","Traditional/Legend/Fairytale","Drama","Fantasy","null","92","5.1","373"
"Congo","81022333","152022333","null","50000000","Jun 09 1995","PG-13","null","Paramount Pictures","Based on Book/Short Story","Adventure","Contemporary Fiction","Frank Marshall","21","4.6","17954"
"Conan the Barbarian","38264085","38264085","null","20000000","May 14 1982","null","null","Universal","Based on Book/Short Story","Action","Fantasy","John Milius","76","6.8","38886"
"Conan the Destroyer","26400000","26400000","null","18000000","Jun 29 1984","null","null","Universal","Based on Book/Short Story","Action","Fantasy","Richard Fleischer","29","5.4","20368"
"Class of 1984","6965361","6965361","null","3250000","Aug 20 1982","null","null","United Film Distribution Co.","Original Screenplay","Drama","Contemporary Fiction","null","null","6.3","2945"
"The Clan of the Cave Bear","1953732","1953732","null","15000000","Jan 17 1986","null","null","Warner Bros.","Based on Book/Short Story","Adventure","Historical Fiction","null","13","4.9","2763"
"The Case of the Grinning Cat","7033","7033","null","200000","Jul 21 2006","Not Rated","null","First Run/Icarus","Based on Real Life Events","Documentary","Factual","null","null","null","null"
"Bacheha-Ye aseman","925402","925402","null","180000","Jan 22 1999","PG","null","Miramax","Original Screenplay","Comedy","Contemporary Fiction","null","null","8","6657"
"Coming Home","32653000","32653000","null","3000000","Dec 31 1977","null","null","null","null","null","null","Hal Ashby","81","7.3","4410"
"Nanjing! Nanjing!","0","20000000","null","12000000","Nov 17 2009","R","null","National Geographic Entertainment","null","null","null","null","null","7.6","1725"
"Cool Runnings","68856263","155056263","null","14000000","Oct 01 1993","null","null","Walt Disney Pictures","Based on Real Life Events","Comedy","Contemporary Fiction","Jon Turteltaub","73","6.5","24533"
"Conquest of the Planet of the Apes","9700000","9700000","null","1700000","Dec 31 1971","null","null","null","null","null","null","Jack Lee Thompson","44","5.8","6188"
"Cure","94596","94596","null","10000","Jul 06 2001","Not Rated","null","null","null","null","null","null","null","7.4","2724"
"Crocodile Dundee","174803506","328000000","null","5000000","Sep 26 1986","null","null","Paramount Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","88","6.5","27277"
"Dayereh","673780","673780","null","10000","Mar 09 2001","Not Rated","null","WinStar Cinema","Original Screenplay","Drama","Contemporary Fiction","null","null","7.3","1851"
"Karakter","713413","713413","null","4500000","Mar 27 1998","R","null","Sony Pictures Classics","Based on Book/Short Story","Drama","Historical Fiction","null","null","7.8","5531"
"Creepshow","20036244","20036244","null","8000000","Nov 10 1982","null","null","Warner Bros.","Based on Book/Short Story","Horror","Fantasy","George A. Romero","67","6.5","12530"
"Creepshow 2","14000000","14000000","null","3500000","May 01 1987","null","null","New World","Based on Book/Short Story","Horror","Fantasy","null","26","5.4","5910"
"The Crying Game","62546695","62546695","null","4000000","Nov 25 1992","R","null","Miramax","Original Screenplay","Drama","Contemporary Fiction","Neil Jordan","100","7.3","21195"
"Crimson Tide","91387195","159387195","null","55000000","May 12 1995","R","null","Walt Disney Pictures","Original Screenplay","Action","Contemporary Fiction","Tony Scott","86","7.2","33354"
"Caravans","1000000","1000000","null","14000000","Dec 31 1977","null","null","Universal","Based on Book/Short Story","Adventure","Historical Fiction","null","null","5.8","173"
"Crying With Laughter","0","0","null","820000","Dec 31 2009","null","null","null","null","null","null","null","null","null","null"
"Fengkuang de Shitou","0","3000000","null","500000","Jun 30 2006","null","null","null","Original Screenplay","Black Comedy","Contemporary Fiction","null","null","7.6","1209"
"Casablanca","10462500","10462500","null","950000","Dec 31 1941","null","null","Warner Bros.","Based on Play","Drama","Historical Fiction","Michael Curtiz","97","8.8","167939"
"Casino","42438300","110400000","null","52000000","Nov 22 1995","R","null","Universal","Based on Book/Short Story","Drama","Historical Fiction","Martin Scorsese","81","8.1","108634"
"Casper","100328194","282300000","null","55000000","May 26 1995","PG","null","Universal","Based on TV","Comedy","Fantasy","Brad Silberling","41","5.7","26121"
"Can't Stop the Music","2000000","2000000","null","20000000","Dec 31 1979","null","null","null","Original Screenplay","Musical","Contemporary Fiction","null","null","3.5","2146"
"Catch-22","24911670","24911670","null","18000000","Jun 24 1970","null","null","Paramount Pictures","Based on Book/Short Story","Comedy","Historical Fiction","Mike Nichols","87","7.1","9671"
"City Hall","20278055","20278055","null","40000000","Feb 16 1996","R","111","Sony Pictures","Original Screenplay","Drama","Contemporary Fiction","Harold Becker","55","6.1","9908"
"Cutthroat Island","10017322","10017322","null","92000000","Dec 22 1995","PG-13","null","MGM","Original Screenplay","Adventure","Historical Fiction","Renny Harlin","45","5.3","10346"
"La femme de chambre du Titanic","244465","244465","null","10000000","Aug 14 1998","null","null","MGM","Based on Book/Short Story","Drama","Historical Fiction","null","null","6.8","822"
"Cat People","4000000","8000000","null","134000","Nov 16 2042","null","null","RKO Radio Pictures","Original Screenplay","Drama","Fantasy","null","91","5.9","6791"
"Courage Under Fire","59003384","100833145","null","46000000","Jul 12 1996","R","115","20th Century Fox","Original Screenplay","Drama","Historical Fiction","Edward Zwick","85","6.6","19682"
"C'era una volta il West","5321508","5321508","null","5000000","May 28 1969","PG-13","null","Paramount Pictures","Original Screenplay","Western","Historical Fiction","Sergio Leone","null","8.8","74184"
"The Conversation","4420000","4420000","null","1600000","Apr 07 1974","null","null","Paramount Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Francis Ford Coppola","98","8.1","33005"
"Cavite","70071","71644","null","7000","May 26 2006","Not Rated","null","Truly Indie","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","null","6","487"
"Copycat","32051917","32051917","null","20000000","Oct 27 1995","R","null","Warner Bros.","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Jon Amiel","75","6.5","17182"
"Dark Angel","4372561","4372561","null","7000000","Sep 28 1990","null","null","Triumph Releasing","Original Screenplay","Action","Science Fiction","null","null","5.3","3396"
"Boot, Das","11487676","84970337","null","12000000","Feb 10 1982","R","null","Sony/Columbia","Based on Book/Short Story","Drama","Historical Fiction","Wolfgang Petersen","null","4.3","2184"
"Desperado","25532388","25532388","null","7000000","Aug 25 1995","R","null","Sony Pictures","Original Screenplay","Action","Contemporary Fiction","Robert Rodriguez","61","7","51515"
"Dumb & Dumber","127175374","246400000","null","16000000","Dec 16 1994","PG-13","null","New Line","Original Screenplay","Comedy","Contemporary Fiction","Bobby Farrelly","null","7.2","88093"
"Diamonds Are Forever","43800000","116000000","null","7200000","Dec 17 1971","null","null","MGM","Based on Book/Short Story","Action","null","Guy Hamilton","67","6.7","25354"
"The Dark Half","9579068","9579068","null","15000000","Apr 23 1993","null","null","Orion Pictures","Based on Book/Short Story","Horror","Fantasy","George A. Romero","null","5.7","5488"
"The Dark Hours","423","423","null","400000","Oct 13 2005","R","null","Freestyle Releasing","null","Horror","null","null","null","6.3","2804"
"Dante's Peak","67163857","178200000","null","115000000","Feb 07 1997","PG-13","108","Universal","Original Screenplay","Drama","Contemporary Fiction","Roger Donaldson","28","5.6","23472"
"Daylight","32908290","158908290","null","80000000","Dec 06 1996","PG-13","115","Universal","Original Screenplay","Action","Contemporary Fiction","Rob Cohen","22","5.4","20052"
"Dick Tracy","103738726","162738726","null","47000000","Jun 15 1990","null","null","Walt Disney Pictures","Based on Comic/Graphic Novel","Action","Super Hero","Warren Beatty","65","5.9","25364"
"Decoys","84733","84733","null","5000000","Feb 27 2004","R","null","null","null","null","null","null","null","4.4","2486"
"Dawn of the Dead","5100000","55000000","null","1500000","Apr 20 1979","null","null","United Film Distribution Co.","null","Horror","null","null","null","7.4","73875"
"The Addams Family","113502246","191502246","null","30000000","Nov 22 1991","null","null","Paramount Pictures","Based on TV","Comedy","Fantasy","Barry Sonnenfeld","59","6.6","28907"
"Death Becomes Her","58422650","149022650","null","55000000","Jul 31 1992","null","null","Universal","Original Screenplay","Comedy","Fantasy","Robert Zemeckis","53","6","27681"
"Def-Con 4","210904","210904","null","1300000","Mar 15 1985","null","null","New World","Original Screenplay","Action","Science Fiction","null","null","3.8","639"
"Dead Poets' Society","95860116","239500000","null","16400000","Jun 02 1989","null","null","Walt Disney Pictures","Original Screenplay","Drama","Contemporary Fiction","Peter Weir","86","7.8","89662"
"The Day the Earth Stood Still","3700000","3700000","null","1200000","Mar 04 2003","null","null","null","null","null","null","null","94","5.5","51517"
"Deep Throat","45000000","45000000","null","25000","Jun 30 1972","null","null","null","null","null","null","null","null","5.2","3075"
"The Dead Zone","20766000","20766000","null","10000000","Oct 21 1983","null","null","Paramount Pictures","Based on Book/Short Story","Horror","Fantasy","David Cronenberg","null","7.3","19485"
"Die Hard 2","117323878","239814025","null","70000000","Jul 03 1990","null","null","20th Century Fox","Based on Book/Short Story","Action","Contemporary Fiction","Renny Harlin","null","7","79636"
"Die Hard: With a Vengeance","100012499","364480746","null","90000000","May 19 1995","R","null","20th Century Fox","Based on Book/Short Story","Action","Contemporary Fiction","John McTiernan","null","7.4","87437"
"Dragonheart","51364680","104364680","null","57000000","May 31 1996","PG-13","108","Universal","Original Screenplay","Adventure","Fantasy","Rob Cohen","50","6.2","26309"
"Die Hard","81350242","139109346","null","28000000","Jul 15 1988","null","null","20th Century Fox","Based on Book/Short Story","Action","Contemporary Fiction","John McTiernan","94","7.3","237"
"Diner","12592907","12592907","null","5000000","Apr 02 1982","null","null","MGM","Original Screenplay","Comedy","Historical Fiction","Barry Levinson","96","7.1","7803"
"Dil Jo Bhi Kahey...","129319","129319","null","1600000","Sep 23 2005","Not Rated","null","Eros Entertainment","Original Screenplay","Drama","null","null","null","5","159"
"Don Juan DeMarco","22032635","22032635","null","25000000","Apr 07 1995","PG-13","null","New Line","Original Screenplay","Drama","Contemporary Fiction","null","73","6.6","20386"
"Tales from the Crypt: Demon Knight","21089146","21089146","null","12000000","Jan 13 1995","R","null","Universal","Original Screenplay","Horror","Fantasy","null","null","6.4","6430"
"Damnation Alley","null","null","null","17000000","Oct 21 1977","null","null","null","null","null","null","null","null","4.7","1655"
